id,shopName,ownerName,phone,address,gpsLatitude,gpsLongitude,creditBalance,isActive,createdAt,updatedAt,externalId,routeName
66,ATHVIKA STORE (KALLANAI SCHOOL),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
67,"AUSTIN COFFEE CORNER, VM CHATRAM, ATCHAYA OPP",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
68,"AVM TEA STALL(NEW BUS STAND, NGO COLONY)",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
69,"AYA MASTHAN HOTEL(UMIMPURAM, 1ST STREET) MELAPALAYAM",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
70,AYSHA STORE MELAPALAYAM(OPPOSITE TO ANNAPORNA),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
71,AYSHA STORE PALASARUKU STORES(MELAPALAYAM),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
72,AYUTHAMMAN KOVIL JUICE SOUTH BAJAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
73,"AYYA KUTTY STORE, POLICE STATION NEAR",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
74,AYYAPAN STORE CN VILLAGE,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
75,AYYAPPAS TEA COFFEE RASTHA,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
76,Abi store thiyagaraja nagar,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
77,BAASS MART SOUTH BAJAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
78,"BADUSHA SUPER MARKET, KRISHNAPURAM",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
79,"BALA SHASTHA STORE(VANNARPETTAI, AATRU PALAM)",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
80,BALAJI STORE SOOTHAMALLI,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
81,BALAJI STORE(KULAVVANIKPURAM CHURCH NEAR),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
82,BALAJI TEA STALL,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
83,BALAKANI TEA STALL KRISHNAPURAM,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
84,BALAMURUGAN STORE(RAJA KUDIRUPU PALAY),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
85,BALAN UNAVAGAM(KRISHNAPURAM),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
86,BEERTHELAS STORE GOPALASAMUTHRAM,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
87,BETHEL SNACKS THARAPURAM THALAIATHU,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
88,BETHEL SUPER NGL ROAD,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
89,BHARATHI ANGADI RANI ANNA COLLEGE OPP,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
90,BHARATHI SUPER MARKET(RAHMATH NAGAR),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
91,BHARATHIYAR STREET TOWN OPP,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
92,BIBLE AND SHIFT PALACE(MURUGANKURICHI PALAY),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
93,BISMILLAH MINI SHOP(NEAR PETTAI MILL),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
94,BISMILLAH PETTAI MILL NEAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
95,BISMILLAH SOOTHAMALLI,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
96,BISMILLAH STORE(SCHAFTER SCHOOL OPP),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
97,BRIDA STORE,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
98,BRITISH BAKERY REDDIARPATTI,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
99,BYEPASS TEA STALL,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
